ingredientes,link,nome,porcoes,preparo,tempo_preparo
"2 xícaras de chá de açúcar,1 xícara de chá de água,Suco de 1 limão,3 xícaras de chá de coco ralado grosso,1 xícara de chá de coco em floco grosso/pedaços",https://www.receiteria.com.br/receita/quebra-queixo/,Quebra-queixo , 5 porções,"
Reúna os ingredientes do quebra-queixo; ,
Em uma panela, derreta o açúcar; ,
Com cuidado, adicione a água e o limão. Misture até dar o ponto e a cor desejada da calda; ,
Acrescente o coco ralado, o coco em flocos, misture bem sem parar até secar boa parte da água (não deixe secar por completo); ,
Transfira para potinhos untados com manteiga e sirva. Bom apetite! ", 40min
"1 lata de leite condensado,
600 g de açúcar,
100 g de coco ralado",https://www.receiteria.com.br/receita/cocada-de-corte/,Cocada de corte , 20 porções,, 20min
"1 xícara de chá de arroz tipo agulhinha (220 gramas),3 xícaras de chá de água (720 ml),2 canelas em pau,1/2 xícara de chá de açúcar cristal (100 gramas),3 xícaras de chá de leite integral (720 ml),1 caixa de leite condensado (395 gramas)",https://www.receiteria.com.br/receita/arroz-doce-com-leite-condensado/,Arroz doce com leite condensado , 8 porções ,"
Esfriou por aí? Então, reúna os ingredientes e venha aprender a fazer esse arroz doce com leite condensado, uma sobremesa quentinha para espantar o frio; ,
Em uma panela grande, coloque o arroz, a água e a canela em pau (se quiser, pode lavar o arroz). Ligue o fogo alto e cozinhe o arroz seguindo as instruções da embalagem; ,
Enquanto o arroz está cozinhando, leve uma panela média ao fogo médio e espere aquecer. Coloque o açúcar e espere-o derreter até ele se tornar caramelo; ,
Quando o açúcar derreter completamente, adicione um pouco do leite e mexa com a espátula. Adicione o restante do leite e deixe ferver por cerca de 5 minutos após o açúcar derreter novamente; ,
Desligue o fogo da panela do arroz quando ele estiver pronto e adicione a mistura de caramelo com leite. Misture bem; ,
Por último, coloque o leite condensado e espere ferver. Após 10 minutos fervendo, desligue o fogo, retire a canela em pau e transfira o arroz doce para uma travessa (ainda deve ter uma boa quantidade de caldo na panela, pois se ferver além do necessário, o arroz ficará mais seco ao esfriar); ,
Para que o arroz esfrie e não crie película (nata), cubra com plástico filme em contato; ,
Sirva o arroz doce com leite condensado e aproveite um preparo cremoso com o aconchego que o frio pede. Bom apetite! ", 40min
"1 e 1/2 xícara de arroz branco agulhinha (300 gramas),5 xícaras de chá de água (1,2 litro),1 caixa de leite integral (1 litro),2 xícaras de chá de açúcar (400 gramas),1 pitada de sal,2 paus de canela para decorar (ou canela em pó a gosto)",https://www.receiteria.com.br/receita/arroz-doce-simples/,Arroz-doce simples , 15 porções,"
Reúna os ingredientes para fazer esse irresistível arroz-doce simples, uma sobremesa quentinha para as noites mais geladas; ,
Em uma panela grande fora do fogo, coloque o arroz e a água. Ligue o fogo alto e cozinhe o arroz seguindo as instruções do pacote. Ele deve ficar completamente macio e cozido. Nesse processo, fique de olho na panela e mexa o fundo da panela com uma colher para não grudar; ,
Reduza para o fogo médio ou baixo, acrescente o leite integral, o açúcar e uma pitada de sal. Mexa bem com a colher ou espátula por cerca de 20 minutos. Caso o leite comece a ferver demais, pare o fogo imediatamente para evitar que ele transborde e ligue-o novamente após a fervura baixar; ,
Após cozinhar o arroz e ele encorpar, desligue o fogo e reserve na travessa. Quando ele esfriar, engrossará mais um pouco; ,
Sirva esse arroz-doce simples e curta um preparo prático que fica simplesmente delicioso. Se quiser, decore com um pouco de canela em pó ou em rama. Bom apetite! ", 45min
"2 e 1/2 xícaras de chá de água morna (600 ml ou até cozinhar o arroz),1 xícara de chá de leite em pó (125 gramas),1 xícara de chá de coco ralado sem açúcar (50 gramas),1/2 xícara de chá de açúcar (100 gramas),1/2 xícara de chá de arroz branco (90 gramas),3 cravos-da-índia (ou a gosto) ,1 rama de canela em pau,1/2 colher de chá de canela em pó (ou a gosto) ",https://www.receiteria.com.br/receita/arroz-doce-com-leite-em-po/,Arroz-doce com leite em pó , 8 porções ,"
Reúna os ingredientes do arroz-doce com leite em pó. A quantidade de água pode variar. À medida que o arroz for cozinhando, você poderá precisar adicionar mais água, ou não, até que o arroz-doce esteja no ponto correto - cozido e cremoso; ,
Esquente a água no fogão ou micro-ondas até ficar morna e dilua o leite em pó nela. Em uma panela, em fogo baixo, coloque o leite diluído na água e acrescente o coco ralado. Misture e cozinhe por 1 minuto; ,
Acrescente o açúcar, misture e cozinhe por 2 minutos. Adicione o arroz cru e misture novamente. Para aromatizar, junte os cravos-da-índia e a canela em pau e mexa os ingredientes; ,
Deixe o arroz cozinhando com a panela semi-tampada, por cerca de 25 a 30 minutos. De vez em quando, mexa o arroz e verifique se a água está secando. Caso o arroz ainda esteja muito duro, acrescente água aos poucos, até que ele fique cozido e cremoso; ,
Quando o arroz estiver no ponto, desligue o fogo e deixe a panela fechada por uns 5 minutos, para finalizar o cozimento; ,
Na hora de servir, finalize com canela em pó a gosto. Você pode servir essa sobremesa deliciosa tanto quente quanto geladinha. Aproveite! ", 40min
"2 xícaras de chá de arroz,4 xícaras de chá de água,1 litro de leite,1 vidrinho de leite de coco,1 caixinha de leite condensado,1/2 xícara de chá de açúcar,1 caixinha de creme de leite,Canela em pó a gosto",https://www.receiteria.com.br/receita/arroz-doce-cremoso/,Arroz doce cremoso , 5 porções,"
Reúna todos os ingredientes; ,
Em uma panela, coloque o arroz e a água e deixe cozinhar; ,
Em seguida, adicione o leite, o leite de coco, o leite condensado, o açúcar e misture bem; ,
Cozinhe em fogo médio, mexendo por vezes, por cerca de 15 minutos; ,
Desligue o fogo e acrescente o creme de leite; ,
Sirva quente ou gelado com canela em pó a gosto. ,
Bom apetite! ", 40min
"2 paçocas,
Gelo a gosto,
50 ml de vodca,
50 ml de leite condensado",https://www.receiteria.com.br/receita/batida-de-pacoca/,Batida de paçoca , 1 porção,, 5min
"2 copos de água,2 copos de leite,1 tablete de ,100 gramas de margarina,1 colher de sopa de sal,1 ovo batido,5 xícaras de chá de farinha de trigo,Salsichas aferventadas",https://www.receiteria.com.br/receita/enroladinho-frito-de-salsicha/,Enroladinho frito de salsicha , 22 unidades,"
Reúna todos os ingredientes; ,
Em uma panela alta, leve ao fogo a água, o leite, o caldo de carne, a margarina e o sal até ferver; ,
Retire do fogo e acrescente a farinha de trigo e o ovo; ,
Leve ao ao fogo e misture tudo até desprender da panela; ,
Disponha a massa em uma bancada enfarinhada e sove; ,
Divida a massa em algumas partes e recheie com a salsicha (você pode optar por colocar ela inteira ou em pedaços); ,
Enrole em forma de croquete; ,
Passe no leite e na farinha de rosca; ,
Frite em óleo quente e deixe escorrer em um prato coberto por toalha de papel; ,
Agora é só servir! Bom apetite ", 80min
"1 litro de leite integral,200 gramas de açúcar,1 pitada de sal,1 colher de chá de bicarbonato de sódio",https://www.receiteria.com.br/receita/doce-de-leite/,Doce de leite , 350 gramas,"
Reúna todos os ingredientes; ,
Em uma panela de fundo grosso, coloque o leite e misture; ,
Assim que ferver a mistura, despeje o bicarbonato de sódio; ,
Deixe cozinhar em fogo baixo e misture de 5 em 5 minutos por cerca de 1 hora; ,
Para saber se está no ponto correto, mexa o doce com uma espátula e passe o dedo e veja se o doce fica firme (ponto napê); ,
Sirva e bom apetite! ", 60min
"400 gramas de biscoito do tipo maisena,100 gramas de manteiga em temperatura ambiente (ou derretida),1 colher de chá de raspas de limão,8 colheres de sopa de água,2 caixinhas de leite condensado,2 caixinhas de creme de leite,150 ml de suco de limão,Raspas de limão para decorar",https://www.receiteria.com.br/receita/torta-de-limao-facil/,Torta de limão fácil , 8 porções,"
Reúna todos os ingredientes da massa; ,
Em um mixer ou liquidificador, triture a bolacha até formar uma farinha; ,
Adicione a manteiga, a água e as raspas de limão. Misture bem até formar uma massa úmida que fique compacta e lisa ao apertar; ,
Transfira para uma forma redonda, de fundo removível, espalhe bem e vá apertando para compactar no fundo e nas laterais; ,
Leve para a geladeira. ", 45min
"1 ovo pequeno,
30 gramas de manteiga de cacau (ou óleo de coco),
70 gramas de coco ralado,
15 gramas de parmesão ralado,
10 gramas de adoçante,
Extrato de baunilha a gosto",https://www.receiteria.com.br/receita/queijadinha-low-carb/,Queijadinha low carb , 3 porções,, 20min
"400 gramas de shimeji fresco (preto ou branco),50 gramas de manteiga sem sal,1 fio de azeite,1/2 cebola picada (100 gramas),1 dente de alho ralado,1/2 colher de café de pimenta-do-reino (ou a gosto),1/2 xícara de chá de saquê (120 ml),1/2 xícara de chá de shoyu (120 ml),3 colheres de sopa de cebolinha picada para finalizar",https://www.receiteria.com.br/receita/shimeji-na-manteiga/,Shimeji na manteiga , 4 porções,"
Reúna todos os ingredientes para fazer um shimeji na manteiga saboroso. Aproveite, e deixe os cogumelos limpos e já desfie eles com as mãos; ,
Esquente uma frigideira grande e deixe bem quente. Coloque um fio de azeite e a manteiga. Assim que a manteiga derreter, refogue o alho e a cebola; ,
Assim que eles tiverem douradinhos, acrescente o shimeji e deixe fritar até o refogado começar a grudar na frigideira e tostar. Lembre-se de ir mexendo às vezes, para não queimar; ,
Despeje o saquê sobre o refogado e misture rapidamente. Deixe cozinhar até o saquê agregar sabor e o álcool evaporar. Você consegue sentir pelo cheiro quando o álcool evaporar por completo; ,
Tempere com pimenta-do-reino, despeje o shoyu e se precisar, acerte o sal se necessário (cuidado, pois o shoyu já é salgado). Misture e já desligue o fogo; ,
Transfira o shimeji na manteiga para um recipiente, salpique a cebolinha por cima, e agora é só servir esse prato delicioso. Ele é uma ótima opção de acompanhamento para um almoço ou janta. Bom apetite! ", 25min
"1 colher de sopa de manteiga,
1/2 cebola média picada,
2 dentes de alho exprimido,
4 copos (de requeijão) de água,
1 copo (de requeijão) de fubá,
50 gramas de parmesão ralado,
Sal a gosto",https://www.receiteria.com.br/receita/polenta-facil/,Polenta fácil , 4 a 6 porções,, 25min
"1 litro de leite integral pasteurizado,3 colheres de sopa de vinagre branco,50 gramas de manteiga sem sal (em ponto de pomada),200 gramas de creme de leite (com mais de 20% de gordura),1/2 colher de chá de sal",https://www.receiteria.com.br/receita/cream-cheese/,Cream cheese , 4 porções,"
Reúna todos os ingredientes; ,
Em uma panela, coloque o leite e leve ao fogo alto; ,
Assim que começar a ferver, diminua o fogo, adicione o vinagre e fique mexendo; ,
Assim que começar a talhar, desligue o fogo e espere terminar de talhar completamente; ,
Passe esse leite por um pano, fechando e apertando bem, para retirar todo o soro; ,
Transfira o leite talhado para um liquidificador, sem o soro, acrescente o restante dos ingredientes e bata até formar um creme liso e homogêneo; ,
Despeje em um recipiente, tampe e leve para a geladeira por no mínimo 6 horas; ,
Agora é só servir. Bom apetite! ", 30min
"500 gramas de farinha de trigo sem fermento,
125 ml de leite morno,
125 ml de água morna,
1 sachê de fermento biológico,
90 gramas açúcar,
20 ml de óleo,
1 ovo,
Pitada de sal",https://www.receiteria.com.br/receita/pao-doce-com-leite-condensado-e-coco/,Pão doce com leite condensado e coco , 1 forma,, 60min
"8 maçãs pequenas,3 ovos grandes,100 ml de leite,150 gramas de uvas-passas,1 colher de sopa de canela,1 colher de café de essência de baunilha,150 gramas de farinha de aveia (aveia em flocos finos ou em flocos grossos),1 colher de sopa de fermento químico em pó (fermento para bolo),30 gramas de granola para decorar",https://www.receiteria.com.br/receita/bolo-de-maca-nutritivo/,Bolo de maçã nutritivo , 12 porções,"
Reúna todos os ingredientes; ,
Higienize, descasque e pique 6 maçãs. Reserve-as com o suco de 1/2 limão para não ficarem escuras; ,
No liquidificador, coloque as cascas, os ovos, o leite, a baunilha, a canela, 100 gramas das uvas-passas e bata por cerca de 4 minutos; ,
Em um recipiente, coloque a farinha de aveia, a mistura do liquidificador e misture com uma colher; ,
Adicione as 6 maçãs picadas, o restante das uvas-passas, o fermento e misture até tudo incorporar; ,
Transfira para uma forma untada com manteiga e aveia. Depois, fatie o restante das maçãs e decore por cima; ,
Polvilhe a granola e leve ao forno preaquecido a 200ºC por cerca de 20 a 30 minutos, ou até cozinhar; ,
Agora é só servir. Bom apetite! ", 40min
"20 quadradinhos de , ou bombons de amendoim crocante,
1 lata de leite condensado cozido,
1 lata de creme de leite sem soro,
Gotas de chocolate amargo a gosto,
1 litro de sorvete de creme",https://www.receiteria.com.br/receita/gelado-cremoso-de-pe-de-moleque/,Gelado cremoso de pé-de-moleque , 10 porções,, 30min
"1 e 1/2 xícara de chá de açúcar,
1/2 caixa de creme de leite,
100 gramas de chocolate branco,
500 gramas de amendoim torrado",https://www.receiteria.com.br/receita/pe-de-moleque-com-chocolate-branco/,Pé-de-moleque com chocolate branco , 12 porções,, 20min
"1 lata de leite condensado,
1 vidro de leite de coco,
1 colher de sopa de manteiga,
3 ovos,
100 gramas de flocos de coco",https://www.receiteria.com.br/receita/cocada-de-forno-com-flocos-de-coco/,Cocada de forno com flocos de coco , 4 porções,, 40min
"1 xícara de chá de arroz branco,
1 pitada de sal,
Cravo a gosto,
2 xícaras de chá de água,
1 e 1/2 xícara de chá de leite,
1/2 xícara de chá de açúcar,
3 colheres de sopa doce de leite,
Canela a gosto",https://www.receiteria.com.br/receita/arroz-de-doce-de-leite/,Arroz de doce de leite , 6 porções,, 30min
"500 gramas de filé mignon em cubos,Sal e pimenta-do-reino a gosto,1 fio de azeite,2 colher de sopa de manteiga sem sal,1/2 cebola picada,2 dentes de alho picados,2 xícaras de chá de arroz arbóreo,250 ml de vinho branco,1 panela com caldo de legumes,Queijo parmesão a gosto,Cheiro-verde a gosto",https://www.receiteria.com.br/receita/risoto-de-file-mignon/,Risoto de filé mignon , 4 porções,"
Reúna todos os ingredientes; ,
Tempere a carne com sal, pimenta e misture; ,
Em uma panela, esquente um fio de azeite, sele o filé e reserve; ,
Na mesma panela, derreta 1 colher de sopa de manteiga e refogue a cebola até dourar; ,
Diminua o fogo, adicione o alho e deixe refogar; ,
Acrescente o arroz e refogue também; ,
Despeje o vinho e mexa sem parar; ,
Vá colocando o caldo de legumes gradualmente e mexendo sempre; ,
Conforme o caldo for secando, vá acrescentando e mexendo até o arroz ficar al dente; ,
Adicione o filé mignon, misture e desligue o fogo; ,
Salpique o parmesão ralado, acrescente a manteiga e misture até incorporar; ,
Finalize com o cheiro-verde e acerte o sal (caso precise); ,
Agora é só servir. ", 40min
"1,3 kg de fraldinha cortada em cubos,1 colher de sopa de azeite,1 colher de sopa de mostarda dijon,1 colher de sopa de molho inglês,4 cebolas cortadas em 4 partes,150 ml de cerveja preta,1 e 1/2 xícara de chá de molho de tomate,2 xícaras de chá de arroz branco,Água quente (o suficiente para cobrir),Sal, pimenta e cebolinha a gosto",https://www.receiteria.com.br/receita/arroz-de-fraldinha/,Arroz de fraldinha , 10 porções ,"
Reúna os ingredientes do arroz de fraldinha; ,
Aqueça uma panela média em fogo médio e adicione o azeite; ,
Coloque os cubos de carne e doure todos os lados; ,
Adicione a mostarda dijon e o molho inglês. Misture; ,
Adicione as cebolas, a cerveja preta e o molho de tomate. Mexa bem; ,
Cubra com água quente e deixe a carne em fogo baixo por cerca de 1 hora. A cada 20 minutos, confira o preparo. Adicione água quente, se necessário; ,
Quando a carne estiver macia, retire do molho e desfie; ,
Volte a carne para o molho e adicione o arroz; ,
Cubra novamente com água quente e mexa até que o arroz esteja cozido; ,
Sirva esse prato cheio de sabor com cebolinha picada. Bom apetite! ", 120min
